Mat.Grp.Description	MPN	Material Description	rec_type	Size	Model / Brand	Ply Rating	Tire Type	Tread Pattern/Type	Other	load index and speed rating	Alternate	Industrial	All Terrain	European Standards	Loose Tube Packaging	Tube Extra	DOT	Domestic	Defense
BHL	100146	16.9-28 TYROCK LDR PL TT 12PR	Bias-Ply	16.9-28	TYROCK LDR PL	12PR	TubeType												
BHL	100147	16.9-28 TYROCK SP R4 TT 12PR	Bias-Ply	16.9-28	TYROCK SP R4	12PR	TubeType												
BHL	100149	16.9-28 TYROCK SP R4 ALT TL 14PR	Bias-Ply	16.9-28	TYROCK SP R4	14PR	Tubeless				1								
BHL	102461	9.00-16 SAMRAT BHL TT 16PR	Bias-Ply	9.00-16	SAMRAT BHL	16PR	TubeType												
BHL	105377	18.4-26 TYROCK TL 12PR	Bias-Ply	18.4-26	TYROCK	12PR	Tubeless												
BHL	107526	9.00-16 RDSP501 16PR TT	Bias-Ply	9.00-16	RDSP501	16PR	TubeType												
BHL	107527	14.00-25 RDSP502 20PR TT	Bias-Ply	14.00-25	RDSP502	20PR	TubeType												
BHL	107528	16.9-28 RDSP503 12PR TT	Bias-Ply	16.9-28	RDSP503	12PR	TubeType												
BHL	113669	14.00-25 LOAD XL 20PR L3	Bias-Ply	14.00-25	LOAD XL	20PR		L3											
Compactor	100215	23.1-26 C305 TL 12PR R3	Bias-Ply	23.1-26	C305	12PR	Tubeless	R3											
Compactor	100217	23.1-26 C305 ALT TL 12PR EU	Bias-Ply	23.1-26	C305	12PR	Tubeless				1			1					
Compactor	100219	23.1-26 C305 ALT TL 16PR EU	Bias-Ply	23.1-26	C305	16PR	Tubeless				1			1					
Compactor	101714	23.1-26 C305 TL 8PR R3	Bias-Ply	23.1-26	C305	8PR	Tubeless	R3											
Compactor	104922	23.1-26 COMPACTOR C305 TL 8PR	Bias-Ply	23.1-26	C305	8PR	Tubeless		COMPACTOR										
Compactor	107324	23.1-26 18PR C305 TL (DUAL BEAD- R3)	Bias-Ply	23.1-26	C305	18PR	Tubeless	R3	DUAL BEAD										
