Group	Tyre Code	Type	Complete Tyre Code	Tire Size	Load Index	Speed Rating	Product Name	Construction	Extras	Market Code	Ply Rating
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5055450810	TUBE TYPE	135/100-14(5.25-14) TF18 55A6 8PR TT TVS	135/100-14(5.25-14)	55	A6	TF18	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5061610610	TUBE TYPE	6.00 - 16 F-2 6 PR TT TVS	6.00 - 16			F-2	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5061610810	TUBE TYPE	6.00-16 F2 8PR TT TVS	6.00-16			F2	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5061630810	TUBE TYPE	6.00 - 16 TF01 8PR TT TVS	6.00 - 16			TF01	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5075640610	TUBE TYPE	7.50-16SL (190/95-16SL) TF09 6PR TT TVS	7.50-16SL (190/95-16SL)			TF09	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES TRACTOR FRONT TYRES (RIB)	3TFR5075640810	TUBE TYPE	7.50-16SL (190/95-16SL) TF09 8PR TT TVS	7.50-16SL (190/95-16SL)			TF09	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES TRACTOR REAR TYRES (R-1)	3TRR5081810410	TUBE TYPE	8-18 TR18 4PR TT TVS	45887			TR18	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES TRACTOR REAR TYRES (R-1)	3TRR5083210610	TUBE TYPE	8.3-20 TR18 6PR TT TVS	8.3-20			TR18	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES TRACTOR REAR TYRES (R-1)	3TRR5012810810	TUBE TYPE	12.4-28 (315/85-28) TR09 8PR TT TVS	12.4-28 (315/85-28)			TR09	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES TRACTOR REAR TYRES (R-1)	3TRR5012811210	TUBE TYPE	12.4-28 (315/85-28) TR09 12PR TT TVS	12.4-28 (315/85-28)			TR09	TUBE TYPE		TVS	12PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3SMT5051020410	TUBE TYPE	5.0-10 (130/100-10) IM54 4PR TT TVS	5.0-10 (130/100-10)			IM54	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3SMT5051210410	TUBE TYPE	5.00-12 (130/100-12) IM45 4PR TT TVS	5.00-12 (130/100-12)			IM45	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3TFR5051260410	TUBE TYPE	5-12 PT09 4PR TT TVS	45789			PT09	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3TFR5061260410	TUBE TYPE	6.00-12 PT 09F 4PR TT TVS	6.00-12			PT 09F	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3SMT5068220610	TUBE TYPE	6.5/80 - 12 IM54 6 PR TT TVS	6.5/80 - 12			IM54	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3TFR5055450810	TUBE TYPE	135/100-14(5.25-14) TF18 55A6 8PR TT TVS	135/100-14(5.25-14)	55	A6	TF18	TUBE TYPE		TVS	8PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3SMT5045910410	TUBE TYPE	4.50-19 (115/100-19) IM45 4PR TT TVS	4.50-19 (115/100-19)			IM45	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3TRR5081810410	TUBE TYPE	8-18 TR18 4PR TT TVS	45887			TR18	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3TRR5083210610	TUBE TYPE	8.3-20 TR18 6PR TT TVS	8.3-20			TR18	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES MINI TRACTOR TYRES	3SMT5095210610	TUBE TYPE	9.5-20 (240/90-20) IM45 6PR TT TVS	9.5-20 (240/90-20)			IM45	TUBE TYPE		TVS	6PR
AGRICULTURE TYRES POWER TILLER TYRES	3TFR5061260410	TUBE TYPE	6.00-12 PT 09F 4PR TT TVS	6.00-12			PT 09F	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES POWER TILLER TYRES	3TFR5051260410	TUBE TYPE	5-12 PT09 4PR TT TVS	45789			PT09	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES REAPER TYRES	3RPR5087810210	TUBE TYPE	18X7.0-8 RP09 2PR TT TVS	18X7.0-8			RP09	TUBE TYPE		TVS	2PR
AGRICULTURE TYRES WEEDER/BARROW TYRES	3SMT5040810210	TUBE TYPE	4.00-8 (100/100-8) IM45 2PR TT TVS	4.00-8 (100/100-8)			IM45	TUBE TYPE		TVS	2PR
AGRICULTURE TYRES WEEDER/BARROW TYRES	3SMT5041010410	TUBE TYPE	4.00-10 (100/100-10) IM45 4PR TT TVS	4.00-10 (100/100-10)			IM45	TUBE TYPE		TVS	4PR
AGRICULTURE TYRES IMPLEMENT TYRES	3IMP5018211011	TUBELESS	10.0/80-12(255/80-12) IM18 10PR TBL TVS	10.0/80-12(255/80-12)			IM18	TUBELESS		TVS	10PR
AGRICULTURE TYRES IMPLEMENT TYRES	3FRM6011410811	TUBELESS	11L-14 I1 1-09 8PR TL TVS	11L-14			I1 1-09	TUBELESS		TVS	8PR
AGRICULTURE TYRES IMPLEMENT TYRES	3IMP5010711811	TUBELESS	10.0/75 - 15.3 IM 18 18 PR TBL TVS	10.0/75 - 15.3			IM 18	TUBELESS		TVS	18PR
